Provider,Number of files who's most recent update was in the last [days],,,,,,Number of updates in last 180 days- breakdown,,,,,,Assessment
,30,60,90,180,370,other,30,60,90,180,370,other,
mcs,,3,,,,,,3,3,6,12,6,Monthly,
mfat,,,,1,,,,,,2,2,,Six-monthly,
mic-uk,,1,,,,,,1,1,1,1,,Monthly,
minbuza_nl,,2,,,,,,2,6,10,24,12,Monthly,
mlf,,,1,,,,,,1,3,3,,Quarterly,
motivation,,1,,,,,,1,1,3,3,,Monthly,
mrc,,1,,,,,,1,1,1,1,,Monthly,
mrc-sierra-leone,,1,,,,,,1,1,1,1,,Monthly,
mrdf,,2,,,,,,2,2,2,4,10,Monthly,
msi,,11,,,,,,11,11,24,34,,Monthly,
network4africa,1,,,,,,1,2,3,3,3,,Monthly,
nfn,,1,,,,,,1,1,2,2,,Monthly,
nrc,,,1,,,,,,1,1,1,,Quarterly,
ocha_fts,41,,1,4,,,414,1453,2417,5725,9881,,Monthly,
opportunity-international-uk,,1,,,,,,1,1,1,1,1,Monthly,
oxfamgb,69,,,,,,129,129,263,387,445,4,Monthly,
oxfamindia,,2,,,,,,2,3,3,3,,Monthly,
pa,1,,,,,,12,42,59,60,61,,Monthly,
pact,,4,,,,,,5,5,7,11,,Monthly,
pdorg,,,,1,,,,,,2,5,,Six-monthly,
peopleinaid,,1,,,,,,1,1,2,3,,Monthly,
plan_uk,,1,,,1,,,1,1,1,3,1,Monthly,
plan_usa,,11,,,,,,11,11,11,11,,Monthly,
pont,,1,,,,,,1,1,1,2,1,Monthly,
pontis,,9,,,,,,9,9,9,35,7,Monthly,
power,,1,,,,,,1,1,1,1,1,Monthly,
pragya,,2,,,,,,2,2,4,6,,Monthly,
pri,,1,,,,,,2,2,2,4,,Monthly,
progressio,,2,,,,,,2,2,2,5,2,Monthly,
psi,,1,,,,,,1,3,8,12,,Monthly,
pwyf,,,1,,,,,,1,1,1,2,Quarterly,
rc,,2,,,,,,5,5,8,11,,Monthly,
rem,,5,,,,,,5,5,10,17,15,Monthly,
restless,,10,,,,,,10,10,11,84,,Monthly,
rfuk,,2,,,,,,2,4,5,7,1,Monthly,
ri-uk,,1,,,,,,1,1,1,2,1,Monthly,
rspb_,,1,,,,,,2,2,3,6,7,Monthly,
sacbc,,1,,,,,,1,1,1,1,,Monthly,
sacu,1,1,,,,,1,3,5,7,7,,Monthly,
saferworld,,,,1,,,,,,3,3,,Six-monthly,
sciaf,,2,,,,,,2,3,7,7,,Monthly,
scuk,,37,,,,1,,37,37,76,282,16,Monthly,
sdc_ch,1,,,,,,1,3,3,3,3,,Monthly,
self-help-africa,,1,,1,,,,2,2,3,3,2,Monthly,
sendacow,2,1,,,,,2,4,4,8,8,2,Monthly,
sense_international,,2,,,,,,4,4,4,8,6,Monthly,
sida,134,,,1,23,,134,135,268,547,1796,1457,Monthly,
sossaheluk,,1,,,,,,1,1,1,1,1,Monthly,
spark,1,1,,1,1,,1,2,2,3,9,,Monthly,
spuk,,,,1,,,,,,5,10,1,Six-monthly,
ss-org,1,1,,2,,,1,5,5,11,14,,Monthly,
stichting_hivos,,,1,,,,,,1,3,3,2,Quarterly,
surf,,1,,,,,,1,1,2,5,3,Monthly,
taf,,10,,,,,,10,10,10,19,16,Monthly,
tao-03473165,,1,,,,,,1,1,1,1,1,Monthly,
tbalert,,1,,,,,,1,1,1,2,1,Monthly,
tearfund,,5,,,,,,5,5,5,7,5,Monthly,
theglobalfund,146,,,,,,1297,4774,9105,21980,25183,4955,Monthly,
theict,,1,,,,,,1,1,1,4,1,Monthly,
tlmew,,2,,,,,,2,2,6,6,,Monthly,
traidcraft,,2,,,,,,2,2,3,5,2,Monthly,
transparency-international,,,,12,,,,,,21,35,7,Six-monthly,
tripleline_crownagents,1,,,,,,1,1,1,1,1,,Monthly,
troc,,2,,,,,,2,2,4,9,1,Monthly,
twin-iati,,1,,,,,,1,1,1,6,,Monthly,
uncdf,,,,,,1,,,,,,1,Beyond one year,
undp,6,153,,1,,,12,181,341,1814,1978,,Monthly,
unfpa,1,,,1,,,12,42,72,153,153,,Monthly,
unhabitat,,,1,,,,,,1,2,6,2,Quarterly,
unicef,,,,1,1,,,,,4,9,,Six-monthly,
unitedstates,,396,,27,1,,,911,1128,2753,3721,,Monthly,
unops,2,,,135,,,4,11,33,337,793,1044,Monthly,
unw,,54,,,,1,,54,54,62,115,55,Monthly,
vfan,,2,,,,,,3,3,5,10,1,Monthly,
vso,,,1,,,,,,1,2,3,3,Quarterly,
wacc-uk,,1,,,,,,1,1,2,3,3,Monthly,
waronwant,,2,,,,,,2,2,6,11,2,Monthly,
wateraid,,6,,,,,,6,12,12,14,5,Monthly,
wfp,1,,,,,,1,1,1,1,2,,Monthly,
wfwiuk,1,,,,,,1,2,2,4,5,,Monthly,
womankindworld,1,,,,,,1,2,2,3,9,1,Monthly,
worldbank,,81,,72,,,,163,163,851,1493,144,Monthly,
wsup,,2,,,,,,2,2,6,7,2,Monthly,
wvuk,,24,,,,,,48,48,96,228,25,Monthly,
wwf-uk,,,1,,7,,,,2,2,10,,Quarterly,
wwfpakistan,2,,,,,,2,3,4,5,10,,Monthly,
ycare,,2,,,,,,2,2,3,5,,Monthly,
yipl,1,,,,,,1,2,2,3,6,7,Monthly,
